strategy,date,status,Return [%],Buy & Hold Return [%],Return (Ann.) [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Profit Factor,Expectancy [%],Avg. Trade [%],Calmar Ratio,Equity Final [$],Equity Peak [$],Avg. Trade Duration,Max. Trade Duration,file,error
BandShiftTrail,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""UpperBand"" error. See traceback above."
BandwidthMomentum,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp1x0l2ks_.py"", line 49 |     f""Size: {position_size} | SL: {stop_loss:.2f} �"") | IndentationError: unexpected indent"
BearishBreakout,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 811, in new_order |     raise ValueError( | ValueError: Short orders require: TP (16657.050000000003) < LIMIT (16697.25) < SL (16677.15)"
ContrarianEarnings,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""MAX(Earnings_…,1)"" error. See traceback above."
MomentumBreakout,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp1s9362zi.py"", line 48 |     f""Resistance: {self.resistance[-1]:.1f} | MA: {ma_value:.1f} | "" | IndentationError: unexpected indent"
MomentumCrossReversal,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmpflk6nl6w.py"", line 60 |     f""Entry: {price:.2f} | SL: {stop_loss:.2f} | TP: {take_profit:.2f}"") | IndentationError: unexpected indent"
OpenInterestPut,03_13_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmplkw1rhks.py"", line 22, in <module> |     raise ValueError(""🌙✨ MOON DEV ERROR: 'open_interest' column not found in data!"") | ValueError: 🌙✨ MOON DEV ERROR: 'open_interest' column not found in data!"
RangeBoundPut,03_13_2025,SUCCESS,14.69576,304.68647,4.4361,0.96288,1.55878,-5.11124,82.85714,35,2.2741,4.44696,3.74554,0.86791,1146957.60612,1198893.53425,31 days 20:01:00,192 days 15:45:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_13_2025/backtests_final/RangeBoundPut_BTFinal.py,
VolatilityArbitrage,03_13_2025,SUCCESS,-93.63001,307.59158,0.0,,,-93.68549,28.91374,626,0.43121,-0.51458,-0.52622,0.0,63699.92199,1000000.0,17.64856,100.0,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_13_2025/backtests_final/VolatilityArbitrage_BTFinal.py,
VolumetricBreakout,03_13_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/03_13_2025/backtests_final/VolumetricBreakout_BTFinal.py,
