candle_num,timestamp,close,open,high,low,volume,action,confidence,event,equity,total_candles,vote_claude,vote_deepseek
1,2026-02-20 00:00:00,67236.0,66982.0,67491.0,66934.0,1325.76509,BUY,100,"-> OPEN LONG @ $67,236",10000.0,480,Buy,Buy
2,2026-02-20 01:00:00,67260.0,67236.0,67340.0,67139.0,438.00066,BUY,100,In Position (PnL +0.1%),10004.28,480,Buy,Buy
3,2026-02-20 02:00:00,67226.0,67261.0,67331.0,67163.0,251.69685,BUY,100,In Position (PnL -0.0%),9998.22,480,Buy,Buy
4,2026-02-20 03:00:00,67347.0,67226.0,67483.0,67223.0,350.64881,BUY,100,In Position (PnL +0.5%),10019.81,480,Buy,Buy
5,2026-02-20 04:00:00,67247.0,67348.0,67378.0,67095.0,1180.28385,BUY,50,In Position (PnL +0.0%),10001.96,480,Do Nothing,Buy
6,2026-02-20 05:00:00,67773.0,67248.0,67999.0,67191.0,1279.82785,BUY,100,In Position (PnL +2.4%),10095.84,480,Buy,Buy
7,2026-02-20 06:00:00,67827.0,67772.0,67881.0,67644.0,707.36195,BUY,100,In Position (PnL +2.6%),10105.48,480,Buy,Buy
8,2026-02-20 07:00:00,67813.0,67828.0,67975.0,67752.0,483.26118,BUY,100,In Position (PnL +2.6%),10102.98,480,Buy,Buy
9,2026-02-20 08:00:00,67861.0,67813.0,67921.0,67733.0,249.00545,BUY,100,In Position (PnL +2.8%),10111.55,480,Buy,Buy
10,2026-02-20 09:00:00,68199.0,67860.0,68200.0,67860.0,518.29207,BUY,100,In Position (PnL +4.3%),10171.87,480,Buy,Buy
11,2026-02-20 10:00:00,67911.0,68199.0,68300.0,67842.0,1114.25736,BUY,50,In Position (PnL +3.0%),10120.47,480,Do Nothing,Buy
12,2026-02-20 11:00:00,67285.0,67910.0,67955.0,67227.0,2104.04798,SELL,100,"-> CLOSE @ $67,285",10008.75,480,Sell,Sell
13,2026-02-20 12:00:00,67518.0,67284.0,67560.0,67242.0,1544.97786,SELL,50,No Position,10008.75,480,Do Nothing,Sell
14,2026-02-20 13:00:00,66800.0,67517.0,67517.0,66422.0,5051.15099,SELL,100,No Position,10008.75,480,Sell,Sell
15,2026-02-20 14:00:00,67034.0,66799.0,67288.0,66645.0,2758.65702,SELL,50,No Position,10008.75,480,Do Nothing,Sell
16,2026-02-20 15:00:00,67549.0,67035.0,68101.0,66514.0,8494.91617,SELL,50,No Position,10008.75,480,Do Nothing,Sell
17,2026-02-20 16:00:00,67765.0,67547.0,67891.0,67251.0,2616.34378,NOTHING,100,No Position,10008.75,480,Do Nothing,Do Nothing
18,2026-02-20 17:00:00,67590.0,67764.0,67765.0,66918.0,3432.83989,NOTHING,100,No Position,10008.75,480,Do Nothing,Do Nothing
19,2026-02-20 18:00:00,67894.0,67590.0,67977.0,67430.0,1569.76448,SELL,50,No Position,10008.75,480,Do Nothing,Sell
20,2026-02-20 19:00:00,67601.0,67895.0,67978.0,67510.0,1629.38302,NOTHING,100,No Position,10008.75,480,Do Nothing,Do Nothing
21,2026-02-20 20:00:00,67719.0,67602.0,67801.0,67491.0,1061.79589,NOTHING,100,No Position,10008.75,480,Do Nothing,Do Nothing
22,2026-02-20 21:00:00,67790.0,67720.0,67804.0,67600.0,246.77477,NOTHING,100,No Position,10008.75,480,Do Nothing,Do Nothing
23,2026-02-20 22:00:00,68054.0,67789.0,68093.0,67610.0,1608.02095,BUY,100,"-> OPEN LONG @ $68,054",10008.75,480,Buy,Buy
24,2026-02-20 23:00:00,67980.0,68053.0,68225.0,67878.0,1007.1927,BUY,100,In Position (PnL -0.3%),9995.69,480,Buy,Buy
25,2026-02-21 00:00:00,67799.0,67979.0,68004.0,67766.0,426.05087,NOTHING,100,In Position (PnL -1.1%),9963.74,480,Do Nothing,Do Nothing
26,2026-02-21 01:00:00,67916.0,67799.0,67971.0,67799.0,246.04664,BUY,50,In Position (PnL -0.6%),9984.39,480,Do Nothing,Buy
27,2026-02-21 02:00:00,67967.0,67917.0,68066.0,67883.0,193.20606,NOTHING,100,In Position (PnL -0.4%),9993.39,480,Do Nothing,Do Nothing
28,2026-02-21 03:00:00,67632.0,67966.0,67968.0,67481.0,500.93176,SELL,50,"-> CLOSE @ $67,632",9934.27,480,Do Nothing,Sell
29,2026-02-21 04:00:00,67790.0,67631.0,67818.0,67557.0,381.22761,NOTHING,100,No Position,9934.27,480,Do Nothing,Do Nothing
30,2026-02-21 05:00:00,67826.0,67790.0,67852.0,67769.0,114.57008,NOTHING,100,No Position,9934.27,480,Do Nothing,Do Nothing
31,2026-02-21 06:00:00,67760.0,67826.0,67894.0,67720.0,121.23323,NOTHING,100,No Position,9934.27,480,Do Nothing,Do Nothing
32,2026-02-21 07:00:00,67821.0,67759.0,67847.0,67715.0,150.46123,NOTHING,100,No Position,9934.27,480,Do Nothing,Do Nothing
33,2026-02-21 08:00:00,68009.0,67821.0,68029.0,67784.0,561.10322,NOTHING,100,No Position,9934.27,480,Do Nothing,Do Nothing
34,2026-02-21 09:00:00,68113.0,68010.0,68264.0,67938.0,681.53146,BUY,50,"-> OPEN LONG @ $68,113",9934.27,480,Do Nothing,Buy
35,2026-02-21 10:00:00,68172.0,68111.0,68205.0,68106.0,227.28701,BUY,50,In Position (PnL +0.3%),9944.59,480,Do Nothing,Buy
36,2026-02-21 11:00:00,68055.0,68172.0,68244.0,68009.0,730.00827,NOTHING,100,In Position (PnL -0.3%),9924.12,480,Do Nothing,Do Nothing
37,2026-02-21 12:00:00,68169.0,68055.0,68179.0,67877.0,560.22882,BUY,100,In Position (PnL +0.2%),9944.07,480,Buy,Buy
38,2026-02-21 13:00:00,68224.0,68168.0,68226.0,68063.0,189.07195,BUY,100,In Position (PnL +0.5%),9953.7,480,Buy,Buy
39,2026-02-21 14:00:00,68409.0,68223.0,68593.0,68148.0,1150.56163,BUY,100,In Position (PnL +1.3%),9986.07,480,Buy,Buy
40,2026-02-21 15:00:00,68578.0,68410.0,68661.0,68381.0,480.49463,BUY,100,In Position (PnL +2.0%),10015.65,480,Buy,Buy
41,2026-02-21 16:00:00,68286.0,68577.0,68598.0,68050.0,1654.8598,BUY,50,In Position (PnL +0.8%),9964.55,480,Do Nothing,Buy
42,2026-02-21 17:00:00,68399.0,68287.0,68428.0,68154.0,594.27765,BUY,100,In Position (PnL +1.3%),9984.32,480,Buy,Buy
